order_id,book_id,quantity,price_at_purchase
1,10363,1,22.93
1,12518,1,20.49
1,13428,1,18.57
1,1553,3,9.20
1,5439,1,22.81
2,8386,2,19.30
2,3841,3,15.12
2,4977,1,23.42
2,9799,2,23.98
3,7424,3,18.43
3,9205,3,10.89
4,5423,2,16.87
5,2235,3,18.54
5,8792,1,16.10
5,8392,2,15.85
6,4745,3,9.00
6,8413,3,9.19
6,7621,2,23.40
6,1641,1,5.68
7,12719,1,5.45
7,4507,2,8.63
7,7976,1,10.78
7,12181,3,13.89
8,2628,2,10.90
8,11775,1,23.71
8,3526,3,16.25
8,10677,2,14.66
9,6798,3,13.29
9,6068,1,17.77
9,11175,3,9.80
9,11550,3,11.20
9,6716,3,8.98
10,8987,3,22.57
10,11236,3,24.17
10,9943,3,8.45
10,7742,2,14.61
10,2778,2,14.87
11,13857,2,15.07
11,12596,3,22.20
12,8505,2,20.87
12,10325,3,19.86
12,7122,3,11.50
13,8793,3,20.11
13,8104,1,14.21
13,10149,2,17.34
14,9312,3,9.41
14,12610,2,18.08
15,7627,3,20.66
15,3367,3,20.80
15,6641,1,19.02
16,6644,3,11.96
16,1465,3,21.15
16,2520,2,20.04
17,10665,1,12.15
17,12475,2,24.84
18,10508,2,9.74
18,11441,1,24.76
18,12691,2,9.81
18,10437,3,9.34
19,8758,1,13.76
19,1511,3,12.29
20,10024,2,21.91
20,1264,1,16.61
20,7791,1,15.52
20,9809,3,6.74
20,10677,3,14.66
21,4289,3,24.74
21,6834,3,10.66
21,3546,1,22.34
21,8849,2,11.01
22,6405,2,12.20
22,10403,3,17.58
22,13478,3,9.10
22,3117,3,19.00
22,6837,3,20.35
23,6589,3,24.53
23,13047,2,20.70
23,12114,3,17.77
24,6967,1,21.01
24,9018,2,9.25
24,12783,3,16.05
24,13123,3,14.05
25,1212,1,17.45
25,4397,3,7.03
25,1678,2,24.76
25,7936,3,5.13
26,1653,1,20.87
27,7945,1,22.04
28,7142,1,14.53
28,1488,3,14.09
28,12962,3,12.85
29,4691,1,17.45
29,3379,1,9.99
30,8884,1,20.57
30,10410,2,8.14
31,11380,2,15.24
32,13403,1,11.04
32,5088,2,21.34
32,1259,3,10.84
32,11034,1,7.71
32,1122,3,12.07
33,8125,1,19.02
33,11106,1,17.92
34,12781,2,23.27
34,12735,1,11.74
35,3593,2,17.10
35,4616,2,23.82
35,2039,2,20.78
35,10886,2,22.18
36,3119,2,8.68
36,5407,3,17.99
36,12681,1,8.65
37,11354,1,5.42
37,8503,3,13.02
37,11134,3,12.38
37,4424,1,7.83
37,13508,2,9.77
38,13966,1,8.65
38,8901,3,18.27
38,8184,3,16.76
39,2923,1,6.35
39,13523,1,11.36
39,5438,3,7.21
40,12507,2,21.89
40,5723,3,6.64
40,6367,2,23.30
41,7336,3,6.09
41,989,1,7.98
41,1796,2,12.66
41,3748,3,18.16
42,8892,1,23.59
42,12711,3,7.76
43,6583,2,10.57
43,2402,3,16.91
43,9612,3,7.20
43,1223,3,14.22
43,8590,1,16.38
