order_id,customer_id,order_date,status
1,4155,2025-04-06,SHIPPED
2,218,2025-03-17,PENDING
3,3630,2025-02-10,PAID
4,2637,2025-02-04,RETURNED
5,681,2024-08-22,PENDING
6,1093,2025-02-07,SHIPPED
7,4752,2025-07-21,PAID
8,740,2025-06-10,SHIPPED
9,2687,2025-07-22,PAID
10,1765,2024-11-10,PENDING
11,4742,2025-04-22,SHIPPED
12,1077,2025-05-25,SHIPPED
13,2337,2025-01-21,PAID
14,2042,2025-06-16,SHIPPED
15,3205,2024-12-25,PAID
16,172,2025-05-06,SHIPPED
17,710,2025-02-14,RETURNED
18,139,2025-04-23,PENDING
19,3171,2024-11-19,SHIPPED
20,3228,2025-07-10,SHIPPED
21,3014,2024-09-18,PENDING
22,4639,2024-08-25,PAID
23,2749,2024-12-12,RETURNED
24,2680,2025-02-01,PAID
25,3729,2025-03-13,RETURNED
26,4554,2025-06-28,PAID
27,4614,2025-06-14,PAID
28,2654,2025-01-02,SHIPPED
29,4890,2025-05-28,RETURNED
30,4021,2024-09-10,SHIPPED
31,4192,2025-03-28,RETURNED
32,3105,2024-12-04,PAID
33,124,2025-02-05,PENDING
34,4076,2025-02-18,PENDING
35,4679,2024-10-07,PENDING
36,421,2025-04-18,PAID
37,4069,2024-09-07,RETURNED
38,1929,2024-08-26,RETURNED
39,2570,2024-09-25,PAID
40,2981,2024-09-20,PAID
41,4853,2025-01-13,PENDING
42,3327,2025-07-08,RETURNED
43,302,2024-11-25,RETURNED
44,3578,2025-04-22,RETURNED
45,3267,2025-05-06,PENDING
46,2303,2025-06-20,PENDING
47,4127,2025-07-12,PENDING
48,4289,2025-01-05,PENDING
49,4037,2025-01-28,PENDING
50,4846,2024-11-07,PENDING
51,2831,2025-03-03,PENDING
52,1985,2024-10-07,RETURNED
53,4852,2025-02-19,PENDING
54,2509,2024-08-11,PAID
55,2614,2024-07-25,SHIPPED
56,795,2024-12-22,PAID
57,1056,2024-12-12,SHIPPED
58,1870,2024-09-14,PAID
59,3550,2025-01-09,SHIPPED
60,3165,2024-11-01,PAID
61,4146,2024-12-01,PENDING
62,2285,2025-06-08,SHIPPED
63,2043,2025-01-10,PENDING
64,3869,2025-03-02,PENDING
65,3246,2025-01-03,RETURNED
66,4412,2025-07-14,PAID
67,4230,2025-05-22,PAID
68,3685,2024-09-07,SHIPPED
69,2644,2025-05-10,SHIPPED
70,4231,2025-02-04,SHIPPED
71,3075,2024-11-21,RETURNED
72,222,2025-06-13,RETURNED
73,392,2025-02-23,RETURNED
74,1669,2024-09-26,PAID
75,2378,2025-01-24,RETURNED
76,632,2025-03-17,RETURNED
77,6,2024-10-18,SHIPPED
78,714,2025-05-25,PAID
79,3054,2024-12-25,RETURNED
80,2890,2025-07-03,PAID
81,2974,2024-09-16,PAID
82,4206,2024-11-13,SHIPPED
83,4553,2025-03-25,PENDING
84,3419,2025-03-16,PENDING
85,3340,2024-11-23,RETURNED
86,1147,2024-10-10,PENDING
87,1326,2025-04-14,SHIPPED
88,4947,2025-05-02,SHIPPED
89,2448,2025-06-02,SHIPPED
90,1035,2024-09-30,PAID
91,1641,2024-09-26,PENDING
92,1488,2025-04-02,RETURNED
93,235,2025-05-19,PAID
94,4023,2025-06-05,RETURNED
95,4157,2024-12-31,SHIPPED
96,4293,2025-05-24,PENDING
97,3209,2025-01-03,SHIPPED
98,3797,2024-09-04,RETURNED
99,2176,2024-12-02,PAID
100,2871,2025-02-10,PENDING
101,935,2024-10-09,PAID
102,620,2024-09-18,RETURNED
103,2319,2025-05-11,RETURNED
104,3502,2025-04-28,SHIPPED
